team,score,total_games
LAL,39720.0,4094
LAL,58549.1,6795
LAL,26387.3,2962
LAL,18456.4,2887
LAL,11326.2,1229
PHO,59691.6,9096
PHO,25348.1,3638
PHO,39129.8,4494
PHO,77954.9,8581
PHO,68250.6,6927
PHO,70107.1,7867
PHO,45625.5,6334
LAL,31181.5,4161
LAL,30713.8,3797
PHO,24732.8,3498
PHO,4953.0,793
LAL,24459.8,3094
LAL,9045.3,1255
LAL,30037.6,4982
LAC,20928.2,2575
LAC,54260.8,6494
LAC,18036.5,2405
LAC,34455.9,4747
LAC,19914.8,2610
LAC,38326.7,4973
LAC,47409.5,5816
LAC,9930.3,1158
UTA,50531.7,5288
UTA,45826.1,5133
UTA,78476.2,7862
UTA,85988.7,9635
UTA,40801.5,4153
UTA,57738.9,5900
UTA,15566.6,2199
UTA,78118.3,8837
UTA,44963.1,4951
UTA,7503.1,1078
UTA,8498.3,1141
LAC,2215.5,363
SAS,23639.6,2977
SAS,15880.7,2071
SAS,60414.1,7833
SAS,81685.1,9019
SAS,77651.8,8709
SAS,10761.1,1577
SAS,26502.4,3313
SAS,6163.7,921
SAS,56251.3,6953
SAS,12724.0,1853
PHO,836.5,126
DAL,48935.0,7672
DAL,88860.3,9900
DAL,29810.6,3182
DAL,72387.9,9553
DAL,17585.7,2603
DAL,17079.2,2270
DAL,13600.5,2482
DAL,9274.3,1523
DAL,1259.4,235
DAL,12541.3,1804
MEM,9159.3,1156
MEM,8259.4,1140
MEM,34367.1,4988
MEM,52502.0,6570
MEM,6950.7,1103
MEM,3688.3,485
MEM,28934.6,3791
MEM,88594.2,10185
MEM,12646.7,1763
PHO,506.4,68
MEM,4513.6,650
MEM,65543.7,7751
PHO,527.6,81
PHO,605.5,86
PHI,35391.3,4020
PHI,93436.9,10759
PHI,6954.5,742
PHI,8338.1,1136
PHI,59132.6,6307
PHI,6450.2,881
PHI,66059.7,8099
PHI,2585.6,347
PHI,43444.2,5651
PHI,16430.2,2309
PHI,53248.8,7570
UTA,945.7,128
UTA,44.1,7
GSW,39283.5,4108
GSW,52531.9,6371
GSW,2391.2,360
GSW,32335.2,4216
GSW,92565.2,10537
GSW,64649.6,7838
GSW,38183.5,4808
GSW,63435.2,7384
GSW,1689.7,249
NOK,11193.7,2141
NOK,64907.9,9210
NOK,14999.1,2213
NOK,16071.4,3046
NOK,54245.7,7513
NOK,1335.2,397
NOK,30956.3,5099
NOK,12187.1,2728
NOK,1468.2,349
NJN,13335.2,2020
NJN,58478.4,7391
NJN,19649.0,2329
NJN,60634.8,8373
NJN,58481.6,9282
NJN,18482.6,2701
NJN,7392.4,1711
NJN,15740.2,2500
NJN,5376.5,1730
NJN,1277.6,245
POR,19374.6,2631
POR,68282.8,9539
POR,87850.2,9648
POR,47533.9,5854
POR,78969.1,8563
POR,34837.1,5578
POR,12154.4,1775
POR,6497.5,1329
POR,12081.8,1827
POR,13536.2,1940
HOU,33691.0,3865
HOU,64785.7,7123
HOU,19485.6,2849
HOU,34745.6,3916
HOU,22913.9,2482
HOU,43008.2,4758
HOU,19488.1,2686
HOU,766.3,136
HOU,8187.8,1360
MIL,57496.0,6020
MIL,28717.6,3730
MIL,27317.6,3091
MIL,70231.8,8067
MIL,10429.3,1243
MIL,40062.0,4742
MIL,11035.6,1503
MIL,60056.0,7389
MIL,2638.1,408
SAC,65154.1,8295
SAC,6319.5,930
SAC,67787.4,7740
SAC,43691.1,4896
SAC,21023.2,2848
SAC,33645.1,4129
SAC,37526.2,5105
SAC,6246.8,875
SAC,5308.3,941
SAC,3793.5,722
SAC,4968.7,794
SAC,40.1,4
NJN,19827.6,3197
BOS,77254.2,8966
BOS,81625.6,8978
BOS,45207.7,5114
BOS,33285.1,4286
BOS,45383.1,5409
BOS,9195.2,1308
BOS,11682.0,1678
BOS,30731.2,4102
BOS,28315.4,4049
BOS,70959.2,7952
CHA,5746.5,1616
CHA,31009.0,6026
CHA,45791.4,8407
CHA,55819.2,8770
CHA,2784.2,702
CHA,9967.0,2774
CHA,3079.6,603
CHA,2911.7,791
CHA,344.6,149
CHA,3962.0,891
CHA,840.3,233
CHA,3570.0,853
ORL,89985.6,9938
ORL,51568.2,5404
ORL,65429.8,7000
ORL,22538.1,4243
ORL,12737.7,1619
ORL,18515.9,2451
ORL,27702.9,3345
ORL,59854.0,7780
ORL,8495.8,1206
ORL,1503.3,229
MIA,6767.3,930
MIA,44086.6,5531
MIA,22182.0,3173
MIA,19632.1,2630
MIA,48607.9,6251
MIA,8913.9,1443
MIA,22047.2,4289
MIA,4723.7,740
MIA,504.4,67
MIA,6609.3,877
MIA,3211.4,477
MIA,10472.7,1560
GSW,49296.6,5251
GSW,4792.3,678
SAC,55091.5,6890
TOR,49227.6,5198
TOR,15963.7,2217
TOR,7253.2,851
TOR,18252.8,2038
TOR,29458.2,3496
TOR,55454.1,6546
TOR,11222.6,1824
TOR,1325.6,182
TOR,16191.2,2151
TOR,26747.6,2982
TOR,212.5,30
WAS,64604.3,7259
WAS,36578.5,4262
WAS,68090.9,7414
WAS,35968.8,3971
WAS,25307.4,2977
WAS,15144.7,2949
WAS,16567.6,2255
WAS,2188.9,344
POR,41910.9,4944
POR,22397.0,2604
POR,2201.4,321
PHO,2677.6,616
DAL,35859.2,4329
NYK,56514.9,6277
NYK,16541.9,1994
NYK,77373.3,10089
NYK,27273.9,3361
NYK,14870.1,1806
NYK,81413.4,8911
NYK,11234.6,1601
NYK,5792.5,939
NYK,5315.6,664
DET,19747.2,3199
DET,33029.3,3688
DET,45865.5,4720
DET,20028.4,3047
DET,78014.8,8234
DET,33828.1,3923
DET,41028.3,5101
DET,451.2,96
DET,36850.8,4783
CHI,29568.3,3740
CHI,39017.6,4269
CHI,40782.5,5068
CHI,86768.4,9499
CHI,53343.4,5622
CHI,54265.6,7564
CHI,6404.8,751
CHI,24148.5,3834
CHI,3066.2,464
CHI,9011.8,1470
TOR,82486.8,9037
TOR,66888.3,7804
GSW,6263.3,938
GSW,19793.4,2401
SEA,21553.8,3655
SEA,36668.3,5755
SEA,5417.9,1109
SEA,47876.8,7604
SEA,66617.7,8245
SEA,23870.4,4221
SEA,49163.3,6802
SEA,13039.0,2891
SEA,535.8,102
SEA,1284.3,306
SEA,1982.3,350
CLE,41722.9,4781
CLE,8098.2,993
CLE,26031.2,3257
CLE,100078.2,11286
CLE,32976.5,3481
CLE,48821.2,6023
CLE,9374.2,1373
CLE,33628.0,4521
CLE,6556.1,1004
CLE,22052.3,2801
CLE,1227.8,167
CLE,2732.5,387
ORL,60576.8,6715
ORL,34114.0,3950
MEM,83190.2,8870
MEM,4588.1,649
HOU,7541.6,830
HOU,18578.0,2608
HOU,6914.4,1105
HOU,4739.8,613
MIN,1161.4,172
MIN,14904.2,1699
MIN,19609.6,2352
MIN,61859.4,7103
MIN,14128.5,2223
MIN,15454.8,2052
MIN,2162.9,312
MIN,24274.0,3498
MIN,667.5,103
MIN,2601.7,375
WAS,28564.0,4236
WAS,7206.3,886
WAS,1175.4,192
WAS,44343.0,5755
NYK,33659.8,3946
NYK,45262.7,6097
NYK,9382.7,1292
MIL,12350.4,1509
MIL,15452.1,2413
MIL,38319.3,4980
MIL,1451.0,206
MIN,64912.7,6848
MIN,24589.6,3204
SAS,7378.3,1124
DEN,86604.1,9722
DEN,17358.1,2628
DEN,63024.8,6712
DEN,9793.3,1256
DEN,1546.5,221
DEN,68233.2,8933
DEN,36857.4,4596
DEN,29458.3,3976
ATL,92462.5,10396
ATL,89679.8,10043
ATL,4625.8,672
ATL,67404.3,7723
ATL,15124.7,2110
ATL,3716.5,518
ATL,20821.8,3039
ATL,45841.6,6026
ATL,4816.7,759
ATL,17378.3,2790
CHI,68881.9,7806
CHI,1161.5,171
CHI,1377.9,222
SEA,51877.5,6528
LAC,8482.7,1244
LAC,2454.6,326
LAC,125.7,12
LAC,2468.2,358
BOS,57589.9,5602
MIN,13222.7,1839
ATL,10831.9,1635
IND,62183.3,7543
IND,4723.5,995
IND,32757.2,4588
IND,24838.7,3321
IND,26656.3,3769
IND,1111.4,192
PHI,77877.8,9130
PHI,17578.0,2482
IND,20533.7,2665
IND,2285.0,394
IND,744.7,168
LAL,82553.3,8900
LAL,17592.1,2420
LAL,481.1,71
LAL,1153.8,183
CHA,19013.1,2751
CHA,11733.2,1865
CHA,4886.4,936
NOK,58883.4,8665
NOK,13031.6,2310
NOK,1434.4,441
DAL,4403.3,687
DAL,41482.0,5562
DET,54900.4,5767
DET,1548.4,227
DEN,49481.8,5169
DEN,388.1,51
SAC,1479.1,224
MEM,1815.3,266
MEM,713.4,120
GSW,51545.9,6413
GSW,49436.9,6925
SAS,37131.2,4936
NOK,7200.7,1615
NOK,52573.8,6746
NOK,304.7,78
SEA,38.8,14
UTA,2632.7,359
GSW,1610.2,215
DET,4606.4,718
DET,347.5,44
DET,49981.3,5779
GSW,21.6,1
SEA,307.0,42
SAS,376.0,51
IND,3025.0,525
TOR,32092.6,5469
MIA,74651.0,8615
PHI,1481.2,221
PHI,2880.9,417
BOS,12860.1,2129
BOS,2402.8,337
LAC,1246.3,167
GSW,120.6,14
GSW,12187.3,1669
NJN,1692.3,538
NJN,7782.1,2126
CHA,3738.1,1049
CLE,1777.1,296
CLE,875.5,156
ATL,9303.8,1413
ATL,675.8,102
ATL,247.3,44
IND,18158.2,2802
NYK,989.0,136
MIL,782.0,123
WAS,15801.1,2579
POR,4929.4,715
DAL,1538.0,268
WAS,3307.4,467
SAS,1872.7,231
DAL,85.5,19
POR,410.3,63
DEN,38930.9,4190
MIN,246.2,46
NYK,306.9,49
CHA,20155.7,2799
MEM,10238.9,1484
ATL,717.7,104
ATL,467.7,89
WAS,226.1,31
SAC,327.0,44
SEA,209.6,37
DEN,167.7,28
ORL,1835.0,304
HOU,1312.5,190
TOR,117.6,12
DEN,20894.7,2567
SAS,259.1,36
BOS,788.8,132
IND,3219.0,516
CLE,25419.7,3424
DAL,3576.0,645
MIL,463.9,68
MIA,23382.3,2870
PHI,19350.8,2673
WAS,13.4,6
ATL,262.0,47
ORL,50032.8,6167
SEA,282.7,81
MIL,21.5,5
CHI,139.9,25
LAC,38.2,4
MEM,322.5,60
BOS,5816.8,879
PHI,69.1,15
PHI,124.1,24
BOS,359.1,53
MIA,229.9,43
ATL,142.7,29
LAC,274.6,43
NYK,1473.6,202
NJN,0.0,1
ORL,525.6,84
GSW,36485.7,5350
LAC,29876.9,3643
GSW,22572.2,3107
DET,63464.0,6839
TOR,22533.9,2692
NYK,54898.2,6003
BOS,39155.6,5272
WAS,45491.9,6041
WAS,17123.4,2385
PHI,21247.5,3692
PHI,67120.4,8194
SAC,52049.5,5959
HOU,64881.1,7068
SEA,79970.2,9239
SEA,64258.9,7942
MIL,14967.2,2463
MIL,10915.0,1882
MIA,20707.6,2826
LAL,6676.8,919
MEM,7596.1,1000
MEM,1906.2,310
MIN,57216.6,6719
MIN,2731.2,399
NJN,3717.9,978
HOU,42856.7,4985
NOH,1341.0,431
GSW,39231.4,5093
POR,182.7,26
MEM,72890.9,7772
IND,6329.2,897
IND,1190.8,184
CHI,63341.6,6447
MIL,946.6,119
GSW,144.9,18
HOU,37703.1,5562
NOH,7000.6,1413
CHA,51396.1,6664
PHO,975.7,121
ATL,64496.0,6766
ATL,2437.5,365
CHA,1066.0,208
LAC,830.0,128
HOU,1789.8,244
POR,8064.7,1179
CHI,479.2,63
CHI,12637.5,1748
DEN,116.0,11
LAL,1551.5,171
MIA,800.9,150
SAS,467.9,73
PHO,1570.8,176
ATL,8156.8,1289
LAL,648.9,81
WAS,3791.3,516
DET,59334.3,6938
HOU,48.5,9
SAC,513.5,90
LAC,592.3,69
UTA,1300.9,179
LAC,40.2,5
SAS,20564.0,2861
DET,395.3,47
NJN,400.4,107
UTA,4259.2,553
BOS,1390.4,203
SEA,1488.9,194
CHI,158.2,25
MIL,43830.0,6558
ORL,50968.6,5584
MIA,24160.3,3171
IND,84.9,10
NOH,29502.5,4134
MIA,989.3,152
MIA,922.5,137
MIA,653.4,111
POR,20846.5,3212
SAS,37.1,4
NJN,129.3,20
CLE,29.9,5
CLE,20.2,4
PHO,50168.2,5849
PHO,36048.0,3921
POR,58301.0,6068
POR,21203.5,3190
POR,33338.1,4715
NJN,34136.0,5774
NJN,33598.0,5078
NJN,8034.6,2051
PHO,697.1,156
IND,31484.3,4112
IND,54392.5,5502
CHI,47798.5,4972
MIL,37492.9,5011
MIL,2461.8,372
MEM,25286.2,3436
MEM,66449.8,7210
MEM,59422.8,7337
SAC,56701.2,6087
SAC,4407.4,733
SAC,15747.2,1929
DET,22814.0,3123
DET,721.8,96
UTA,26152.7,3064
POR,7725.9,863
OKC,68797.1,7197
MIN,58482.8,6413
MIA,53552.1,6174
MIA,37823.3,4764
ORL,48067.1,6328
SAS,51069.6,6107
OKC,5086.1,639
MEM,3921.0,567
LAC,46998.2,5211
LAC,56590.0,5622
TOR,3257.7,520
TOR,2364.2,318
BOS,11109.4,1490
NYK,41930.3,4497
CHA,8934.8,1217
ATL,428.0,48
WAS,29311.2,3567
GSW,34702.5,5333
GSW,1621.7,215
PHI,29361.5,3984
CLE,3469.1,518
CLE,44230.7,4964
CLE,509.6,85
CHA,32029.5,5938
CHA,11481.1,1750
GSW,14642.1,1847
MEM,928.1,169
GSW,536.1,84
LAC,2796.6,372
LAL,84.0,12
SAS,1616.9,223
DET,42.5,7
HOU,6088.7,716
SAS,25944.3,3723
TOR,1562.3,247
NYK,82.5,9
OKC,4270.1,1010
DEN,10545.5,1300
BOS,743.4,113
CHA,195.2,37
OKC,12.3,1
CLE,4060.6,577
PHO,13088.9,1715
GSW,59683.2,6238
MIN,13863.2,1716
MIN,27289.6,3492
PHO,101.0,7
PHI,47158.7,5136
NOH,43786.6,5490
NOH,31995.8,4508
TOR,56109.7,6282
HOU,4405.0,637
HOU,27274.2,3401
DET,23604.1,3185
DET,2344.6,381
DET,14689.0,1912
MEM,14454.2,1919
MEM,27629.4,3199
MEM,8502.5,1217
NYK,22247.1,2900
NYK,23875.0,2713
NYK,384.2,46
SAC,53541.2,5973
SAC,32180.5,3901
DEN,54943.8,6056
SAS,27016.0,3187
POR,31673.6,4429
OKC,59634.1,6997
OKC,50296.0,5354
OKC,14282.6,2070
BOS,2062.1,287
SAC,5293.2,784
MIL,51867.3,5789
MIL,38034.2,4590
IND,25543.0,3591
IND,14323.4,1984
CHA,4438.0,1281
CHA,23234.8,4556
NJN,6457.5,1518
CHI,40859.1,5132
CHI,23766.1,3038
GSW,3139.3,367
UTA,56527.0,5880
DAL,10922.8,1304
POR,8226.8,1073
UTA,2683.0,651
UTA,1608.3,213
